"activity_id";"activity_name";"activity_relance_mission_flag";"snapshot_date"
"016601060201";"Maintenance technique";"False";"2021-03-10T23:59:59.0000000"
"073100000003";"Autres invest. financiers de nature patrimoniale";"False";"2021-03-10T23:59:59.0000000"
"036401010001";"Activité partielle";"True";"2021-03-10T23:59:59.0000000"
"0176PNIM0331";"IM31 TE-gardien.";"False";"2021-03-10T23:59:59.0000000"
"072300010135";"Travaux lourds hors ADAP";"False";"2021-03-10T23:59:59.0000000"
"021401FC0407";"Médecine de prévention";"False";"2021-03-10T23:59:59.0000000"
"021404EX0201";"Concours personnels enseignants HT2";"False";"2021-03-10T23:59:59.0000000"
"036205040001";"Stratégie nationale protéines";"True";"2021-03-10T23:59:59.0000000"
"036207040003";"Bonus électrique";"True";"2021-03-10T23:59:59.0000000"
"012300000219";"AUTRES OPS NON CONT";"False";"2021-03-10T23:59:59.0000000"
"016110201017";"MCO des avions - marchés principaux";"False";"2021-03-10T23:59:59.0000000"
"036303030001";"Fonds d'études et d'aide au secteur privé (FASEP)";"True";"2021-03-10T23:59:59.0000000"
"036303010001";"Business France - Plan export";"True";"2021-03-10T23:59:59.0000000"
"012900120701";"Service mutualisé";"False";"2021-03-10T23:59:59.0000000"
"036304090001";"Industrie du futur";"True";"2021-03-10T23:59:59.0000000"
"036208020001";"Modernisation filière aéronautique";"True";"2021-03-10T23:59:59.0000000"
"036207040001";"Prime à la conversion VL";"True";"2021-03-10T23:59:59.0000000"
"0176PNIM0333";"IM33 Travaux d’aménagement";"False";"2021-03-10T23:59:59.0000000"
"036306010001";"Achat hélicoptères de secours sécurité civile";"True";"2021-03-10T23:59:59.0000000"
"072300010123";"Prestations intellectuelles";"False";"2021-03-10T23:59:59.0000000"
"036304070001";"IA Booster";"True";"2021-03-10T23:59:59.0000000"
"011400000012";"Prêts garantis par l'Etat";"False";"2021-03-10T23:59:59.0000000"
"035402030101";"Représentation et communication des services";"False";"2021-03-10T23:59:59.0000000"
"036304120005";"Opérations immobilières GN";"True";"2021-03-10T23:59:59.0000000"
"020301NP3300";"CPER 2015-2020 TF";"False";"2021-03-10T23:59:59.0000000"
"020304PORP03";"Programmes de réparation de ponts 03";"False";"2021-03-10T23:59:59.0000000"
"036201010004";"Installation électrique - Éclairage";"True";"2021-03-10T23:59:59.0000000"
"036208010001";"Modernisation filière automobile";"True";"2021-03-10T23:59:59.0000000"
"036201010002";"Réhabilitation - Rénovation - Isolation";"True";"2021-03-10T23:59:59.0000000"
"015510010110";"Travail";"False";"2021-03-10T23:59:59.0000000"
"036201020003";"ESR Chauffage - Ventilation - Climatisation";"True";"2021-03-10T23:59:59.0000000"
"015234500306";"OPE CONSTRUCTION";"False";"2021-03-10T23:59:59.0000000"
"036402010002";"Aide exceptionnelle contrat professionnalisation";"True";"2021-03-10T23:59:59.0000000"
"020301MI3505";"RRN Securite et restructuration d'echangeurs";"False";"2021-03-10T23:59:59.0000000"
"015510010101";"Dispositifs de communication";"False";"2021-03-10T23:59:59.0000000"
"036201020004";"ESR Installation électrique - Éclairage";"True";"2021-03-10T23:59:59.0000000"
"036304120010";"Renovation SGAMI";"True";"2021-03-10T23:59:59.0000000"
"036302020001";"Soutien à la relocalisation - volet territorial";"True";"2021-03-10T23:59:59.0000000"
"036402030002";"Service civique";"True";"2021-03-10T23:59:59.0000000"
"036304100001";"Renforcement  socle numérique de l’Etat";"True";"2021-03-10T23:59:59.0000000"
"0123000002PR";"PRE 2021-CCT";"False";"2021-03-10T23:59:59.0000000"
"036201020002";"ESR Réhabilitation - Rénovation - Isolation";"True";"2021-03-10T23:59:59.0000000"
"036304110005";"Etudes préalables et assistances";"True";"2021-03-10T23:59:59.0000000"
"020301NP3500";"CPER 2015-2020 TF";"False";"2021-03-10T23:59:59.0000000"
"020301NP3100";"CPER 2015-2020 TF";"False";"2021-03-10T23:59:59.0000000"
"036305030001";"Opérateurs nationaux patrimoine fonctionnement";"True";"2021-03-10T23:59:59.0000000"
"0146030332A1";"Environnement drones";"False";"2021-03-10T23:59:59.0000000"
"013421170102";"Dispositif de recherches des repreneurs";"False";"2021-03-10T23:59:59.0000000"
"036402100002";"PIC- Cléa numérique";"True";"2021-03-10T23:59:59.0000000"
"036304120004";"Opérations de construction";"True";"2021-03-10T23:59:59.0000000"
"014801020401";"Restauration";"False";"2021-03-10T23:59:59.0000000"
"035800000001";"Renforcement exceptionnel PFE CriseCOVID";"False";"2021-03-10T23:59:59.0000000"
"036402040001";"Prime à l'embauche jeune";"True";"2021-03-10T23:59:59.0000000"
"0176PNMM0442";"MM42 Véhicules 2 R";"False";"2021-03-10T23:59:59.0000000"
"0146200105F1";"MRTT (Avion de ravitaillement et de transport)";"False";"2021-03-10T23:59:59.0000000"
"036402010001";"Aide exceptionnelle à l'apprentissage";"True";"2021-03-10T23:59:59.0000000"
"036302010001";"Soutien à la relocalisation - volet sectoriel";"True";"2021-03-10T23:59:59.0000000"
"036207020001";"Acquisition véhicules Ministère de l'Intérieur";"True";"2021-03-10T23:59:59.0000000"
"015234500308";"MAINTENANCE NON SPECIALISEE";"False";"2021-03-10T23:59:59.0000000"
"036201010001";"Construction - Extension";"True";"2021-03-10T23:59:59.0000000"
"036306010002";"Achat hélicoptères gendarmerie nationale";"True";"2021-03-10T23:59:59.0000000"
"036304120003";"Opération de maintenance lourde";"True";"2021-03-10T23:59:59.0000000"
"036201010003";"Chauffage - Ventilation - Climatisation";"True";"2021-03-10T23:59:59.0000000"
"072300010134";"Maintenance Corrective";"False";"2021-03-10T23:59:59.0000000"
