"maturity_id";"maturity_name";"maturity_display_name";"maturity_considered_as_completed";"maturity_is_hidden";"maturity_phase";"snapshot_date"
Pays;Pays;Pays;false;false;0;"2021-01-28 23:59:59"
Suspended;Suspendu;Suspendu;false;false;3;"2021-01-28 23:59:59"
Ready to start;En préparation;En préparation;false;false;3;"2021-01-28 23:59:59"
Not Completed;Not Completed;Not Completed;false;false;3;"2021-01-28 23:59:59"
Région Académique;Région Académique;Région Académique;false;false;0;"2021-01-28 23:59:59"
Région;Région;Région;false;false;0;"2021-01-28 23:59:59"
Tribunal Judiciaire;Tribunal Judiciaire;Tribunal Judiciaire;false;false;0;"2021-01-28 23:59:59"
Département;Département;Département;false;false;0;"2021-01-28 23:59:59"
Default;Default;"";false;true;3;"2021-01-28 23:59:59"
Cour d'appel;Cour d'appel;Cour d'appel;false;false;0;"2021-01-28 23:59:59"
Completed;Completed;Completed;true;false;3;"2021-01-28 23:59:59"
Ministère;Ministère;Ministère;false;false;0;"2021-01-28 23:59:59"
Completed Mesure;Mesure clôturée;Mesure clôturée;true;false;3;"2021-01-28 23:59:59"
Académie;Académie;Académie;false;false;0;"2021-01-28 23:59:59"
In definition;En définition;En définition;false;false;3;"2021-01-28 23:59:59"
Ongoing;En cours;En cours;false;false;3;"2021-01-28 23:59:59"
