"period_id","period_date","period_year","period_month","period_month_tri","period_month_year","period_month_year_tri","period_quarter","period_quarter_year","period_year_in_time","period_month_in_time","period_quarter_in_time","period_current_year_flag","period_current_month_flag","period_current_quarter_flag","period_last_year_flag","period_last_month_flag","period_last_quarter_flag","period_next_year_flag","period_next_month_flag","period_next_quarter_flag","period_total_flag","snapshot_date"
"20201130","2020-11-30 00:00:00",2020,November,Nov,November  2020,Nov-20,"44","44 2020",Past,Past,Past,false,false,false,true,false,true,false,false,false,false,"2021-03-01 23:59:59"
"20201231","2020-12-31 00:00:00",2020,December,Dec,December  2020,Dec-20,"44","44 2020",Past,Past,Past,false,false,false,true,false,true,false,false,false,false,"2021-03-01 23:59:59"
"20221130","2022-11-30 00:00:00",2022,November,Nov,November  2022,Nov-22,"44","44 2022",Future,Future,Future,false,false,false,false,false,false,true,false,false,false,"2021-03-01 23:59:59"
"20220630","2022-06-30 00:00:00",2022,June,Jun,June      2022,Jun-22,"22","22 2022",Future,Future,Future,false,false,false,false,false,false,true,false,false,false,"2021-03-01 23:59:59"
"20211231","2021-12-31 00:00:00",2021,December,Dec,December  2021,Dec-21,"44","44 2021",Current,Future,Future,true,false,false,false,false,false,false,false,false,false,"2021-03-01 23:59:59"
"20221231","2022-12-31 00:00:00",2022,December,Dec,December  2022,Dec-22,"44","44 2022",Future,Future,Future,false,false,false,false,false,false,true,false,false,false,"2021-03-01 23:59:59"
"20220131","2022-01-31 00:00:00",2022,January,Jan,January   2022,Jan-22,"11","11 2022",Future,Future,Future,false,false,false,false,false,false,true,false,false,false,"2021-03-01 23:59:59"
"20210131","2021-01-31 00:00:00",2021,January,Jan,January   2021,Jan-21,"11","11 2021",Current,Past,Current,true,false,true,false,false,false,false,false,false,false,"2021-03-01 23:59:59"
"20210228","2021-02-28 00:00:00",2021,February,Feb,February  2021,Feb-21,"11","11 2021",Current,Past,Current,true,false,true,false,true,false,false,false,false,false,"2021-03-01 23:59:59"
"20210331","2021-03-31 00:00:00",2021,March,Mar,March     2021,Mar-21,"11","11 2021",Current,Current,Current,true,true,true,false,false,false,false,false,false,false,"2021-03-01 23:59:59"
"20220930","2022-09-30 00:00:00",2022,September,Sep,September 2022,Sep-22,"33","33 2022",Future,Future,Future,false,false,false,false,false,false,true,false,false,false,"2021-03-01 23:59:59"
"20231231","2023-12-31 00:00:00",2023,December,Dec,December  2023,Dec-23,"44","44 2023",Future,Future,Future,false,false,false,false,false,false,false,false,false,false,"2021-03-01 23:59:59"
"2020","2020-12-31 23:59:59",2020,Year,Y,"0ear 2020","0 2020",Y,"0 2020",,,,,,,,,,,,,true,"2021-03-01 23:59:59"
"2023","2023-12-31 23:59:59",2023,Year,Y,"3ear 2023","3 2023",Y,"3 2023",,,,,,,,,,,,,true,"2021-03-01 23:59:59"
"2021","2021-12-31 23:59:59",2021,Year,Y,"1ear 2021","1 2021",Y,"1 2021",,,,,,,,,,,,,true,"2021-03-01 23:59:59"
"2022","2022-12-31 23:59:59",2022,Year,Y,"2ear 2022","2 2022",Y,"2 2022",,,,,,,,,,,,,true,"2021-03-01 23:59:59"
"9999","9999-12-31 23:59:59",9999,Total,Total,Total,Total,Total,Total,,,,,,,,,,,,,true,"2021-03-01 23:59:59"
