cheflieu,libelle,ncc,nccenr,reg,tncc
97105,Guadeloupe,GUADELOUPE,Guadeloupe,1,3
97209,Martinique,MARTINIQUE,Martinique,2,3
97302,Guyane,GUYANE,Guyane,3,3
97411,La Réunion,LA REUNION,La Réunion,4,0
97608,Mayotte,MAYOTTE,Mayotte,6,0
75056,Île-de-France,ILE DE FRANCE,Île-de-France,11,1
45234,Centre-Val de Loire,CENTRE VAL DE LOIRE,Centre-Val de Loire,24,2
21231,Bourgogne-Franche-Comté,BOURGOGNE FRANCHE COMTE,Bourgogne-Franche-Comté,27,0
76540,Normandie,NORMANDIE,Normandie,28,0
59350,Hauts-de-France,HAUTS DE FRANCE,Hauts-de-France,32,4
67482,Grand Est,GRAND EST,Grand Est,44,2
44109,Pays de la Loire,PAYS DE LA LOIRE,Pays de la Loire,52,4
35238,Bretagne,BRETAGNE,Bretagne,53,0
33063,Nouvelle-Aquitaine,NOUVELLE AQUITAINE,Nouvelle-Aquitaine,75,3
31555,Occitanie,OCCITANIE,Occitanie,76,1
69123,Auvergne-Rhône-Alpes,AUVERGNE RHONE ALPES,Auvergne-Rhône-Alpes,84,1
13055,Provence-Alpes-Côte d'Azur,PROVENCE ALPES COTE D AZUR,Provence-Alpes-Côte d'Azur,93,0
2A004,Corse,CORSE,Corse,94,0
,Saint-Pierre-et-Miquelon,SAINT-PIERRE-ET-MIQUELON,Saint-Pierre-et-Miquelon,COM,
,Saint-Barthélemy,SAINT-BARTHELEMY,Saint-Barthélemy,COM,
,Saint-Martin,SAINT-MARTIN,Saint-Martin,COM,
,Wallis-et-Futuna,WALLIS-ET-FUTUNA,Wallis-et-Futuna,COM,
,Polynésie française,POLYNESIE FRANCAISE,Polynésie française,COM,
,Terres australes et antarctiques françaises,TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES,Terres australes et antarctiques françaises,TA,
,Nouvelle-Calédonie,NOUVELLE-CALEDONIE,Nouvelle-Calédonie,NC,
,Île de Clipperton,ILE DE CLIPPERTON,Île de Clipperton,IDC,
